PtNo,Easting,Northing,Elevation,Remark
95,353987.933,3066343.488,1861.00,
96,354249.510,3066669.528,1898.00,
97,353812.189,3066555.476,1837.00,GL
98,354021.106,3066604.778,1883.00,TRACK
99,353815.136,3066543.252,1834.00,TREE
100,353871.815,3066636.215,1851.00,
101,354376.015,3066413.528,1894.00,TOP
102,354192.115,3066567.756,1912.00,GL
103,354052.199,3066392.680,1864.00,
104,354110.710,3066489.344,1882.00,
105,354321.080,3066555.634,1873.00,
106,354001.467,3066368.210,1860.00,TREE
107,354148.520,3066310.715,1890.00,TERRACE
108,354208.073,3066600.572,1913.00,
109,354011.101,3066610.104,1882.00,TREE
110,354108.674,3066551.883,1891.00,TRACK
111,354254.791,3066413.069,1909.00,
112,354342.801,3066546.089,1870.00,
113,353884.958,3066322.930,1867.00,GL
114,354357.373,3066547.641,1868.00,GL
115,353799.743,3066519.977,1830.00,
116,354248.839,3066530.905,1890.00,
117,354282.572,3066462.725,1887.00,
118,353877.051,3066379.276,1850.00,TREE
119,354048.816,3066576.576,1881.00,TOP
120,354285.493,3066469.517,1885.00,
121,353806.012,3066587.262,1846.00,TERRACE
122,354172.883,3066431.073,1898.00,
123,354270.349,3066319.855,1925.00,
124,354104.426,3066502.878,1881.00,TERRACE
125,354232.580,3066533.312,1897.00,
126,353934.210,3066655.954,1860.00,TERRACE
127,353917.298,3066642.611,1855.00,
128,354012.133,3066310.757,1872.00,GL
129,353905.268,3066596.603,1852.00,TOP
130,354002.866,3066392.178,1857.00,TOP
131,354366.366,3066561.345,1868.00,GL
132,354139.862,3066437.562,1886.00,
133,353999.559,3066416.392,1854.00,
134,353959.208,3066483.054,1836.00,TRACK
135,354367.921,3066494.966,1861.00,GL
136,354064.018,3066563.894,1880.00,
137,354385.455,3066537.499,1861.00,TRACK
138,354106.588,3066556.921,1891.00,TOP
139,354108.569,3066439.767,1877.00,TOP
140,354335.306,3066553.811,1872.00,TREE
141,354241.411,3066422.767,1908.00,TOP
142,354145.347,3066528.297,1904.00,TREE
143,354052.191,3066470.488,1864.00,GL
144,354323.742,3066508.344,1869.00,TOP
145,354041.070,3066294.638,1882.00,TREE
146,354350.192,3066482.539,1867.00,TERRACE
147,353836.177,3066377.701,1851.00,
148,354053.848,3066441.116,1863.00,TERRACE
149,354106.093,3066316.246,1883.00,TOP
150,354367.863,3066545.282,1866.00,
151,353948.827,3066644.528,1863.00,GL
152,354279.437,3066425.978,1899.00,
153,354200.464,3066327.574,1904.00,
154,354227.308,3066532.383,1899.00,
155,354172.446,3066336.657,1895.00,
156,354381.363,3066638.576,1860.00,
157,353994.169,3066336.976,1864.00,TERRACE
158,354034.691,3066431.813,1858.00,
159,353918.051,3066486.087,1830.00,TREE
160,353824.875,3066337.187,1856.00,TRACK
161,353923.209,3066415.984,1837.00,GL
162,354344.746,3066393.613,1910.00,
163,354301.638,3066568.532,1877.00,
164,353866.075,3066682.453,1863.00,
165,354158.060,3066430.716,1892.00,GL
166,354085.320,3066601.955,1901.00,GL
167,354151.536,3066342.206,1889.00,
168,354192.411,3066516.734,1909.00,TRACK
169,353980.033,3066460.677,1840.00,GL
170,354372.353,3066398.420,1902.00,TOP
171,354077.450,3066614.389,1902.00,TOP
172,354174.494,3066583.246,1918.00,TERRACE
173,354175.843,3066339.388,1896.00,
174,353905.663,3066405.708,1840.00,
175,353834.938,3066616.428,1850.00,TERRACE
176,354045.657,3066682.745,1900.00,GL
177,354255.447,3066528.580,1888.00,TOP
178,354287.419,3066631.771,1892.00,TERRACE
179,354236.793,3066677.180,1904.00,TRACK
180,353865.378,3066584.623,1840.00,
181,354345.244,3066540.708,1869.00,
182,354276.397,3066372.917,1919.00,TREE
183,354322.525,3066431.763,1894.00,TREE
184,354110.998,3066535.088,1888.00,
185,354347.958,3066652.825,1869.00,
186,353823.324,3066410.457,1834.00,GL
187,353813.949,3066447.743,1818.00,
188,353806.114,3066299.335,1851.00,TREE
189,353948.947,3066566.171,1857.00,TRACK
190,353945.214,3066465.419,1830.00,TREE
191,353910.252,3066606.852,1853.00,
192,354135.397,3066379.553,1884.00,GL
193,353820.437,3066552.953,1835.00,
194,354151.504,3066554.326,1911.00,GL
195,353895.754,3066474.277,1826.00,TREE
196,354201.706,3066360.820,1901.00,
197,353808.455,3066450.871,1817.00,
198,353983.876,3066584.988,1868.00,GL
199,354358.068,3066359.175,1923.00,TREE
200,354117.506,3066322.587,1883.00,
201,354283.284,3066469.007,1886.00,TOP
202,354190.011,3066379.242,1899.00,GL
203,354164.337,3066604.920,1922.00,TOP
204,353912.597,3066614.594,1854.00,GL
205,354143.205,3066662.799,1931.00,TERRACE
206,353821.721,3066624.652,1855.00,TERRACE
207,354278.210,3066542.592,1878.00,GL
208,354371.102,3066358.169,1920.00,
209,354310.470,3066612.107,1885.00,TREE
210,353827.803,3066580.118,1841.00,
211,354000.747,3066585.511,1873.00,TREE
212,353988.110,3066565.981,1866.00,GL
213,353865.514,3066620.248,1848.00,
214,354171.455,3066404.677,1896.00,
215,354275.804,3066552.578,1880.00,
216,353984.678,3066494.300,1845.00,TERRACE
217,354313.436,3066418.900,1900.00,TREE
218,354273.954,3066414.992,1904.00,
219,353872.139,3066351.587,1859.00,TOP
220,354256.571,3066480.776,1897.00,
221,354325.476,3066431.048,1893.00,
222,353914.321,3066457.009,1825.00,TOP
223,354142.305,3066625.538,1925.00,
224,354180.576,3066557.329,1913.00,
225,354162.912,3066557.038,1913.00,
226,353856.364,3066681.683,1865.00,
227,354191.831,3066372.573,1899.00,TERRACE
228,354175.667,3066488.261,1905.00,
229,354288.898,3066321.516,1928.00,GL
230,354278.103,3066441.201,1893.00,GL
231,353994.823,3066666.602,1879.00,
232,354227.733,3066319.623,1912.00,
233,354318.121,3066586.022,1880.00,
234,354334.047,3066628.717,1880.00,GL
235,353893.267,3066492.074,1828.00,
236,353813.725,3066607.966,1851.00,TOP
237,354186.664,3066461.512,1904.00,TRACK
238,353924.436,3066429.748,1832.00,GL
239,354134.689,3066487.891,1891.00,TERRACE
240,354361.974,3066361.341,1921.00,TERRACE
241,354023.052,3066410.300,1857.00,
242,353947.077,3066410.373,1842.00,TOP
243,354072.647,3066680.819,1912.00,
244,354190.022,3066419.313,1902.00,TRACK
245,353855.659,3066381.011,1850.00,TRACK
246,354026.837,3066662.003,1890.00,TERRACE
247,353874.810,3066344.832,1860.00,
248,354196.160,3066670.334,1921.00,TRACK
249,354296.534,3066624.340,1889.00,TOP
250,354023.197,3066545.502,1866.00,TRACK
251,354019.068,3066458.255,1854.00,TREE
252,354118.694,3066365.255,1878.00,
253,353923.481,3066331.354,1865.00,GL
254,353942.890,3066330.114,1863.00,GL
255,353993.556,3066427.240,1850.00,TRACK
256,354070.416,3066449.412,1868.00,
257,353847.242,3066657.770,1860.00,GL
258,354248.304,3066498.669,1899.00,
259,354146.220,3066680.820,1933.00,GL
260,353977.232,3066575.450,1865.00,GL
261,353841.125,3066348.308,1856.00,GL
262,354254.660,3066505.497,1895.00,
263,353873.323,3066353.127,1858.00,GL
264,353874.025,3066305.272,1869.00,TREE
265,353876.844,3066665.407,1857.00,
266,353844.273,3066424.541,1829.00,GL
267,354338.891,3066359.564,1925.00,TERRACE
268,353955.989,3066329.207,1862.00,
269,353980.934,3066548.033,1860.00,TREE
270,354296.007,3066468.204,1882.00,GL
271,354166.072,3066290.802,1898.00,TOP
272,353909.641,3066573.991,1850.00,
273,354056.122,3066389.673,1865.00,
274,354328.224,3066594.993,1881.00,TERRACE
275,354021.550,3066482.432,1855.00,TRACK
276,354223.179,3066498.714,1908.00,
277,353854.177,3066471.940,1822.00,
278,354233.720,3066554.489,1896.00,
279,354264.725,3066679.164,1889.00,
280,354293.397,3066602.304,1888.00,GL
281,354198.930,3066313.272,1904.00,GL
282,354018.794,3066484.932,1855.00,GL
283,353833.542,3066383.435,1849.00,TRACK
284,354105.787,3066327.648,1881.00,TREE
285,354249.513,3066362.862,1917.00,
286,353909.622,3066388.024,1847.00,
287,353958.291,3066670.775,1868.00,
288,354119.271,3066583.290,1907.00,
289,354247.176,3066624.796,1906.00,TRACK
290,354335.436,3066562.362,1873.00,TOP
291,353870.868,3066415.382,1836.00,GL
292,353906.364,3066444.997,1826.00,
293,354275.945,3066460.295,1890.00,TRACK
294,354182.185,3066402.782,1899.00,
295,354228.691,3066453.202,1909.00,
296,354395.922,3066590.449,1851.00,
297,354358.029,3066313.991,1933.00,
298,354301.267,3066394.651,1912.00,
299,354262.669,3066475.722,1894.00,
300,354034.241,3066556.982,1871.00,
301,354181.894,3066543.145,1911.00,TREE
302,353908.069,3066577.914,1851.00,GL
303,354250.305,3066327.053,1919.00,TREE
304,354249.582,3066357.119,1917.00,TOP
305,354228.347,3066408.428,1909.00,TOP
306,354062.236,3066399.557,1865.00,
307,354024.512,3066588.699,1880.00,TERRACE
308,354050.617,3066683.038,1902.00,GL
309,353817.160,3066562.337,1838.00,TRACK
310,354300.881,3066297.692,1932.00,TREE
311,354120.884,3066405.186,1880.00,
312,354030.345,3066607.516,1886.00,TRACK
313,354127.278,3066654.653,1928.00,TOP
314,354229.921,3066522.256,1901.00,TOP
315,354024.535,3066426.740,1856.00,
316,354294.207,3066426.008,1897.00,
317,354348.857,3066536.169,1868.00,TREE
318,354030.586,3066631.866,1891.00,GL
319,353878.237,3066425.318,1832.00,
320,354251.240,3066361.059,1917.00,TRACK
321,354389.959,3066284.577,1924.00,
322,353883.369,3066344.286,1861.00,
323,354225.764,3066624.344,1911.00,TRACK
324,354292.303,3066533.321,1874.00,GL
325,354351.228,3066678.362,1856.00,
326,353868.272,3066317.390,1865.00,
327,353850.740,3066435.677,1826.00,TRACK
328,354390.696,3066600.276,1853.00,TERRACE
329,353867.130,3066553.012,1834.00,TRACK
330,353900.330,3066315.893,1869.00,TOP
331,354140.940,3066446.292,1887.00,
332,354064.824,3066541.248,1872.00,GL
333,354247.624,3066559.009,1891.00,
334,353910.428,3066469.071,1826.00,
335,354343.708,3066358.942,1925.00,
336,353928.882,3066673.597,1861.00,
337,354257.803,3066470.793,1897.00,
338,353837.892,3066575.716,1838.00,GL
339,354080.617,3066500.126,1872.00,TOP
340,353813.804,3066322.517,1853.00,TRACK
341,353983.388,3066382.590,1857.00,TREE
342,353981.608,3066313.464,1865.00,
343,354226.854,3066361.383,1909.00,
344,354067.980,3066367.037,1871.00,TREE
345,353829.942,3066455.375,1819.00,TERRACE
346,354392.930,3066411.517,1886.00,GL
347,354329.095,3066428.550,1894.00,
348,354347.848,3066609.222,1876.00,
349,353941.995,3066297.351,1867.00,TOP
350,354030.954,3066328.944,1873.00,TERRACE
351,353934.118,3066610.575,1859.00,GL
352,353871.412,3066502.298,1826.00,
353,353815.800,3066465.112,1817.00,TRACK
354,354097.307,3066393.414,1873.00,
355,353870.388,3066505.637,1827.00,GL
356,353900.770,3066377.559,1851.00,TERRACE
357,354314.521,3066626.135,1884.00,GL
358,354088.508,3066615.183,1906.00,GL
359,353905.692,3066417.431,1835.00,
360,354196.113,3066295.547,1905.00,TERRACE
361,353957.723,3066642.090,1866.00,
362,354111.625,3066405.726,1878.00,GL
363,353966.876,3066550.088,1858.00,GL
364,354107.832,3066628.535,1917.00,
365,354175.002,3066603.921,1920.00,
366,354119.886,3066630.120,1921.00,GL
367,354033.697,3066482.497,1859.00,
368,354272.627,3066620.240,1898.00,TRACK
369,354320.405,3066467.914,1877.00,
370,353902.814,3066394.359,1845.00,GL
371,353878.003,3066481.117,1825.00,
372,353863.429,3066423.331,1832.00,TOP
373,354385.593,3066588.965,1857.00,GL
374,354363.087,3066614.941,1868.00,
375,353933.019,3066345.161,1859.00,
376,354376.899,3066349.091,1921.00,
377,353920.464,3066441.863,1828.00,
378,354100.129,3066471.407,1877.00,TERRACE
379,354097.030,3066667.750,1921.00,TOP
380,354347.623,3066658.917,1866.00,TREE
381,353822.836,3066675.316,1869.00,
382,353986.673,3066578.867,1868.00,GL
383,354157.279,3066555.903,1912.00,GL
384,353835.027,3066397.792,1843.00,TREE
385,353937.660,3066437.274,1832.00,TRACK
386,354073.066,3066288.339,1889.00,TRACK
387,354326.634,3066615.874,1882.00,TRACK
388,354252.000,3066395.047,1914.00,TREE
389,354291.893,3066316.209,1929.00,GL
390,354252.255,3066410.774,1910.00,GL
391,354220.266,3066414.175,1908.00,
392,354307.407,3066572.718,1878.00,GL
393,354202.994,3066287.982,1907.00,GL
394,354236.607,3066376.888,1912.00,TREE
395,353979.243,3066645.335,1873.00,GL
396,353898.603,3066629.745,1850.00,
397,354251.025,3066535.587,1889.00,GL
398,353896.103,3066511.949,1833.00,TREE
399,354346.890,3066372.620,1919.00,
400,354156.225,3066634.699,1926.00,TREE
401,353995.275,3066591.093,1873.00,
402,354358.594,3066488.071,1864.00,TERRACE
403,353887.769,3066353.609,1858.00,GL
404,354103.742,3066372.840,1875.00,GL
405,353850.650,3066440.964,1824.00,
406,354375.005,3066415.486,1893.00,
407,354139.566,3066310.781,1888.00,
408,354278.260,3066446.608,1892.00,GL
409,353965.260,3066467.227,1836.00,GL
410,354276.567,3066399.130,1910.00,TRACK
411,354217.629,3066438.547,1908.00,
412,354181.867,3066418.302,1900.00,TREE
413,354366.300,3066433.790,1882.00,
414,354057.062,3066533.935,1869.00,TREE
415,354045.432,3066485.619,1862.00,
416,354210.301,3066364.294,1904.00,
417,354298.960,3066601.197,1886.00,
418,353997.477,3066492.509,1849.00,
419,354198.063,3066468.271,1907.00,
420,353922.775,3066573.101,1853.00,TERRACE
421,354128.658,3066586.073,1912.00,TREE
422,354259.668,3066623.090,1903.00,
423,353836.969,3066613.115,1849.00,
424,354233.998,3066551.712,1895.00,TRACK
425,353806.593,3066577.600,1844.00,TOP
426,354369.926,3066346.268,1924.00,TRACK
427,354078.563,3066565.618,1885.00,
428,354040.658,3066388.974,1862.00,TOP
429,354227.592,3066388.074,1909.00,GL
430,354108.587,3066334.675,1880.00,
431,354234.502,3066443.364,1908.00,TERRACE
432,353844.848,3066297.929,1862.00,
433,354134.862,3066548.110,1903.00,
434,354132.486,3066584.420,1913.00,TRACK
435,354357.129,3066592.652,1872.00,
436,353818.265,3066341.642,1854.00,GL
437,354068.770,3066542.576,1874.00,TRACK
438,354176.717,3066619.799,1921.00,
439,354124.661,3066300.972,1887.00,
440,353839.318,3066367.073,1853.00,
441,354151.271,3066392.948,1890.00,TERRACE
442,353929.471,3066472.940,1828.00,TREE
443,353912.086,3066357.755,1856.00,
444,354323.930,3066498.815,1870.00,
445,353914.285,3066426.127,1832.00,GL
446,354069.720,3066548.149,1876.00,GL
447,354246.813,3066496.735,1900.00,GL
448,354221.758,3066558.740,1902.00,TREE
449,354127.295,3066384.702,1881.00,
450,354281.725,3066566.290,1880.00,TERRACE
451,354077.019,3066579.725,1890.00,GL
452,354169.745,3066573.567,1916.00,
453,354285.800,3066311.970,1929.00,TREE
454,354205.458,3066662.398,1917.00,TRACK
455,354181.924,3066515.646,1908.00,
456,354038.977,3066396.106,1861.00,GL
457,354131.114,3066459.428,1885.00,GL
458,354034.120,3066493.826,1859.00,GL
459,354243.150,3066491.382,1903.00,GL
460,354023.434,3066386.594,1860.00,GL
461,354075.256,3066392.742,1869.00,GL
462,354249.115,3066429.922,1905.00,
463,354099.955,3066597.879,1905.00,
464,353998.889,3066462.334,1847.00,TRACK
465,354290.401,3066300.042,1930.00,GL
466,354024.731,3066467.903,1856.00,
467,354301.930,3066364.696,1923.00,TOP
468,354265.316,3066289.904,1927.00,GL
469,354067.057,3066676.356,1908.00,
470,354223.229,3066402.414,1908.00,
471,353817.093,3066504.358,1825.00,
472,354029.585,3066430.413,1857.00,TREE
473,354310.591,3066305.683,1932.00,TREE
474,354146.081,3066645.088,1928.00,TOP
475,354133.213,3066659.088,1930.00,TOP
476,354193.810,3066360.050,1899.00,TRACK
477,354202.681,3066452.143,1906.00,
478,354145.997,3066435.162,1888.00,
479,354047.179,3066354.160,1870.00,GL
480,353907.188,3066552.711,1845.00,TREE
481,353973.291,3066599.828,1867.00,
482,353973.352,3066590.950,1866.00,TRACK
483,354055.682,3066556.337,1875.00,TOP
484,354393.697,3066290.385,1923.00,
485,354006.610,3066379.485,1859.00,TREE
486,354064.899,3066492.261,1867.00,GL
487,354020.326,3066567.746,1872.00,GL
488,354144.755,3066440.267,1888.00,TERRACE
489,354365.047,3066462.644,1866.00,GL
490,354331.603,3066618.906,1882.00,TERRACE
491,354020.384,3066297.279,1875.00,
492,353955.381,3066395.626,1847.00,GL
493,354326.167,3066399.672,1909.00,
494,354095.073,3066682.291,1923.00,TREE
495,354206.495,3066376.263,1902.00,
496,353838.095,3066308.855,1860.00,TREE
497,354316.061,3066450.171,1886.00,TOP
498,353984.857,3066546.946,1861.00,
499,354091.474,3066348.133,1877.00,TERRACE
500,353916.767,3066623.482,1854.00,TREE
501,354047.087,3066365.803,1868.00,TERRACE
502,354294.320,3066565.028,1878.00,GL
503,354291.446,3066349.073,1925.00,
504,354082.439,3066638.224,1909.00,TREE
505,354255.816,3066365.233,1918.00,
506,354072.352,3066578.476,1888.00,GL
507,354022.014,3066621.817,1887.00,GL
508,354122.792,3066388.182,1880.00,
509,353915.183,3066326.128,1867.00,GL
510,353986.712,3066521.686,1854.00,GL
511,354220.391,3066484.190,1910.00,
512,354258.707,3066475.886,1896.00,TOP
513,353831.659,3066601.269,1846.00,TOP
514,354236.006,3066469.704,1907.00,
515,354286.955,3066482.599,1882.00,
516,354063.456,3066481.394,1867.00,
517,353833.542,3066471.149,1820.00,
518,354205.769,3066447.220,1906.00,
519,353942.416,3066352.906,1856.00,
520,354181.496,3066403.548,1899.00,TRACK
521,354021.229,3066393.362,1859.00,
522,354177.552,3066384.830,1898.00,TOP
523,353952.581,3066600.408,1862.00,TRACK
524,354080.486,3066332.586,1880.00,
525,354109.820,3066368.619,1876.00,
526,354175.190,3066495.640,1906.00,
527,353917.332,3066413.584,1837.00,GL
528,354372.544,3066379.298,1909.00,
529,353969.231,3066437.184,1841.00,TREE
530,353979.981,3066488.273,1842.00,TREE
531,353950.967,3066557.231,1856.00,TERRACE
532,353839.037,3066677.184,1867.00,GL
533,354051.835,3066627.011,1897.00,GL
534,354259.265,3066456.239,1897.00,TRACK
535,354221.988,3066465.305,1910.00,GL
536,353913.267,3066454.712,1825.00,
537,353877.218,3066384.759,1848.00,TRACK
538,353991.384,3066667.206,1878.00,TRACK
539,354255.389,3066312.418,1922.00,GL
540,354087.849,3066368.694,1873.00,GL
541,354351.227,3066547.504,1869.00,TREE
542,354190.722,3066520.596,1909.00,TRACK
543,354167.939,3066397.076,1896.00,TERRACE
544,354259.199,3066658.092,1895.00,TRACK
545,354246.214,3066448.219,1903.00,
546,354003.134,3066525.515,1858.00,TOP
547,353948.592,3066325.010,1863.00,
548,354060.842,3066642.133,1902.00,GL
549,354088.063,3066328.102,1880.00,GL
550,353880.837,3066446.475,1823.00,TREE
551,354063.044,3066639.990,1902.00,TREE
552,354182.480,3066662.214,1925.00,GL
553,353879.673,3066649.522,1853.00,
554,353880.702,3066619.097,1848.00,
555,353899.276,3066382.251,1850.00,GL
556,353964.110,3066301.263,1866.00,GL
557,354373.349,3066463.557,1861.00,
558,353809.658,3066315.594,1852.00,TOP
559,353908.773,3066671.691,1858.00,
560,353892.991,3066292.695,1871.00,TOP
561,354080.183,3066416.778,1870.00,TREE
562,353803.895,3066371.450,1845.00,
563,354068.982,3066292.770,1888.00,
564,353894.066,3066488.135,1828.00,TREE
565,353956.103,3066318.956,1864.00,
566,354273.879,3066643.177,1894.00,
567,353907.662,3066563.044,1848.00,TRACK
568,354166.108,3066433.472,1895.00,
569,354041.811,3066622.722,1893.00,TOP
570,354048.371,3066604.843,1891.00,
571,354285.789,3066414.691,1902.00,GL
572,353894.529,3066626.749,1850.00,TERRACE
573,354352.879,3066653.959,1868.00,
574,354333.201,3066530.962,1869.00,TOP
575,354196.752,3066425.850,1904.00,TREE
576,353827.872,3066648.796,1861.00,GL
577,354196.568,3066661.197,1921.00,TERRACE
578,354155.925,3066424.549,1891.00,
579,354257.845,3066319.409,1922.00,TERRACE
580,353926.393,3066634.560,1856.00,GL
581,354369.352,3066548.407,1866.00,
582,354326.970,3066376.594,1920.00,TRACK
583,353865.238,3066515.497,1827.00,TRACK
584,353984.565,3066411.044,1852.00,TERRACE
585,353817.754,3066656.324,1865.00,TERRACE
586,354294.329,3066420.829,1900.00,
587,354344.147,3066362.158,1924.00,
588,354388.267,3066300.691,1926.00,
589,354162.852,3066422.568,1894.00,
590,354198.397,3066679.722,1920.00,TRACK
591,354202.167,3066372.653,1901.00,
592,354138.326,3066468.863,1888.00,GL
593,354370.259,3066670.755,1858.00,TOP
594,354158.807,3066288.913,1896.00,TREE
595,353996.823,3066405.669,1855.00,TERRACE
596,354105.684,3066613.840,1912.00,TERRACE
597,353805.534,3066328.604,1850.00,
598,354233.006,3066654.959,1908.00,TREE
599,354214.426,3066617.859,1914.00,
600,354047.316,3066344.537,1873.00,TERRACE
601,354307.851,3066520.299,1872.00,
602,354250.074,3066506.321,1897.00,GL
603,353999.307,3066564.357,1868.00,TREE
604,353841.865,3066412.222,1834.00,
605,353875.087,3066442.606,1824.00,TRACK
606,353905.645,3066385.160,1849.00,
607,353977.714,3066404.639,1852.00,TREE
608,354063.360,3066357.355,1873.00,TOP
609,354355.273,3066643.978,1869.00,TERRACE
610,353965.257,3066641.902,1868.00,
611,354335.018,3066427.469,1894.00,TREE
612,354205.672,3066561.688,1909.00,TREE
613,354308.571,3066479.650,1876.00,
614,354037.291,3066399.496,1860.00,TRACK
615,353797.515,3066429.783,1820.00,TOP
616,354270.905,3066669.180,1888.00,
617,353942.868,3066424.791,1838.00,TERRACE
618,353882.176,3066519.967,1831.00,
619,354278.327,3066661.106,1887.00,TERRACE
620,354207.302,3066404.147,1905.00,
621,353925.261,3066611.134,1857.00,
622,353955.050,3066334.111,1861.00,
623,354361.193,3066575.793,1870.00,TRACK
624,353958.940,3066609.832,1864.00,GL
625,354219.533,3066618.947,1913.00,TREE
626,353876.315,3066677.863,1861.00,GL
627,354286.540,3066567.773,1880.00,
628,353869.144,3066678.808,1862.00,TOP
629,354104.986,3066397.716,1875.00,
630,353817.513,3066498.008,1823.00,
631,354125.112,3066371.880,1880.00,GL
632,354302.504,3066317.773,1930.00,TOP
633,353846.640,3066464.760,1821.00,GL
634,353961.956,3066575.153,1861.00,
635,354256.642,3066595.011,1898.00,TOP
636,354158.999,3066293.002,1895.00,TOP
637,353986.157,3066663.468,1875.00,GL
638,354172.589,3066384.513,1897.00,
639,354068.236,3066403.670,1867.00,
640,354315.526,3066615.791,1884.00,TERRACE
641,353974.007,3066644.501,1871.00,
642,354252.262,3066578.337,1894.00,
643,354177.063,3066418.535,1898.00,TOP
644,354240.568,3066469.543,1905.00,GL
645,354024.939,3066620.154,1888.00,
646,354230.755,3066427.642,1909.00,TREE
647,354216.991,3066606.181,1912.00,
648,354030.227,3066599.149,1884.00,TREE
649,353811.998,3066477.016,1818.00,
650,354376.196,3066640.602,1862.00,TRACK
651,354224.089,3066438.556,1909.00,
652,353920.370,3066587.692,1855.00,
653,354235.638,3066540.039,1894.00,GL
654,353962.754,3066420.487,1844.00,GL
655,354078.131,3066498.944,1872.00,TREE
656,354312.963,3066525.690,1871.00,TREE
657,354065.421,3066501.104,1868.00,
658,353967.295,3066332.625,1861.00,
659,353982.007,3066683.120,1877.00,GL
660,353844.738,3066674.879,1865.00,TRACK
661,353925.822,3066303.961,1869.00,TREE
662,353961.140,3066664.589,1868.00,GL
663,353900.252,3066500.965,1832.00,TREE
664,353832.333,3066340.216,1857.00,
665,354077.414,3066613.935,1902.00,
666,353924.649,3066461.444,1826.00,
667,354240.769,3066569.219,1896.00,
668,354351.622,3066613.292,1874.00,TREE
