PtNo,Easting,Northing,Elevation,Remark
85,500009.085,3050151.575,1404.400,TREE
86,500036.019,3050234.701,1409.445,
87,500288.944,3050086.160,1421.822,HOUSE
88,500184.751,3050139.250,1416.583,HOUSE
89,500064.509,3050074.075,1408.365,HOUSE
90,500200.418,3050042.450,1412.113,ROAD
91,500060.925,3050048.796,1407.565,RIVER
92,500278.528,3050014.486,1419.986,ROAD
93,500178.463,3050237.323,1412.757,HOUSE
94,500152.408,3050100.720,1412.597,RIVER
95,500120.605,3050208.530,1410.612,HOUSE
96,500252.113,3050170.332,1421.414,HOUSE
97,500144.725,3050047.980,1407.947,TREE
98,500035.060,3050043.866,1405.504,ROAD
99,500047.202,3050202.997,1409.850,
100,500384.759,3050066.178,1421.348,TREE
101,500363.432,3050228.321,1423.934,GL
102,500279.883,3050035.014,1420.545,RIVER
103,500106.348,3050169.427,1410.616,
104,500387.671,3050203.618,1424.349,HOUSE
105,500311.500,3050058.814,1421.373,
106,500286.756,3050069.052,1421.450,RIVER
107,500179.745,3050241.130,1412.930,ROAD
108,500108.897,3050066.149,1408.510,
109,500038.556,3050107.489,1407.144,ROAD
110,500361.041,3050108.129,1421.448,GL
111,500182.311,3050063.259,1411.732,RIVER
112,500080.945,3050193.948,1411.008,HOUSE
113,500122.383,3050192.962,1410.543,
114,500231.688,3050094.580,1418.935,
115,500070.709,3050208.781,1411.159,GL
116,500342.646,3050053.269,1420.598,
117,500303.408,3050001.076,1420.356,
118,500287.785,3050142.792,1423.107,RIVER
119,500172.837,3050248.519,1412.404,ROAD
120,500250.924,3050009.661,1417.555,GL
121,500233.639,3050052.000,1416.777,
122,500259.939,3050129.729,1421.690,
123,500033.778,3050202.485,1408.487,RIVER
124,500166.323,3050022.261,1407.691,
125,500016.646,3050098.809,1404.326,
126,500197.596,3050186.769,1415.124,GL
127,500131.944,3050092.886,1410.313,GL
128,500057.810,3050047.209,1407.473,TREE
129,500041.361,3050048.874,1406.248,
130,500235.058,3050102.512,1419.650,RIVER
131,500068.237,3050119.854,1409.408,HOUSE
132,500370.048,3050215.454,1423.762,RIVER
133,500232.424,3050160.563,1419.727,
134,500138.748,3050172.600,1411.076,HOUSE
135,500236.366,3050245.747,1420.494,
136,500009.122,3050102.961,1403.484,HOUSE
137,500383.424,3050100.839,1421.982,HOUSE
138,500192.921,3050230.837,1414.267,
139,500313.094,3050061.469,1421.417,RIVER
140,500033.092,3050182.454,1407.990,ROAD
141,500194.663,3050188.643,1414.797,RIVER
142,500196.283,3050024.447,1410.773,
143,500375.131,3050117.058,1421.921,HOUSE
144,500228.691,3050050.141,1416.091,
145,500189.396,3050046.344,1410.979,
146,500106.790,3050115.957,1410.053,RIVER
147,500132.628,3050072.357,1409.111,
148,500208.269,3050199.015,1416.138,ROAD
149,500175.565,3050226.901,1412.321,GL
150,500008.645,3050200.680,1405.277,
151,500330.517,3050066.508,1421.081,
152,500358.464,3050068.534,1420.668,HOUSE
153,500056.100,3050063.682,1407.693,HOUSE
154,500221.614,3050033.760,1414.402,GL
155,500043.430,3050235.950,1410.118,ROAD
156,500268.896,3050100.512,1421.559,
157,500112.494,3050056.172,1408.109,TREE
158,500263.769,3050211.668,1423.020,
159,500290.798,3050099.799,1422.220,TREE
160,500307.459,3050008.779,1420.463,
161,500043.096,3050040.485,1406.187,GL
162,500366.405,3050159.813,1422.679,TREE
163,500092.086,3050195.726,1410.938,TREE
164,500014.965,3050052.734,1403.263,GL
165,500221.941,3050229.349,1418.127,HOUSE
166,500148.369,3050212.749,1410.886,TREE
167,500331.916,3050212.095,1424.011,
168,500323.301,3050056.915,1421.048,
169,500126.856,3050012.634,1406.513,HOUSE
170,500381.160,3050216.856,1424.262,RIVER
171,500116.367,3050076.450,1408.953,ROAD
172,500206.023,3050154.729,1417.624,HOUSE
173,500102.386,3050189.992,1410.787,RIVER
174,500374.417,3050032.073,1420.277,RIVER
175,500065.843,3050195.210,1410.735,TREE
176,500017.964,3050234.628,1407.179,
177,500174.039,3050182.094,1412.923,HOUSE
178,500396.950,3050110.306,1423.213,TREE
179,500356.671,3050219.170,1423.765,
180,500299.443,3050131.864,1423.043,ROAD
181,500356.317,3050186.193,1423.085,ROAD
182,500357.379,3050205.126,1423.437,
183,500207.543,3050187.338,1416.346,GL
184,500126.372,3050071.964,1408.820,
185,500308.805,3050029.461,1420.811,
186,500264.665,3050059.585,1420.107,
187,500149.463,3050125.719,1413.146,
188,500037.787,3050126.319,1407.466,
189,500298.716,3050145.661,1423.236,
190,500104.984,3050098.775,1409.632,GL
191,500374.725,3050196.723,1423.570,TREE
192,500096.388,3050228.288,1411.513,
193,500049.103,3050061.681,1407.175,TREE
194,500332.445,3050184.131,1423.408,
195,500061.314,3050169.493,1410.074,HOUSE
196,500071.707,3050130.773,1409.694,HOUSE
197,500239.753,3050047.133,1417.331,RIVER
198,500349.825,3050198.808,1423.380,
199,500078.574,3050240.157,1411.830,ROAD
200,500124.129,3050180.459,1410.599,
201,500310.962,3050229.465,1424.759,
202,500388.731,3050246.046,1425.237,HOUSE
203,500200.296,3050088.013,1415.959,
204,500057.559,3050159.556,1409.734,
205,500005.575,3050118.483,1403.234,RIVER
206,500091.862,3050246.657,1411.958,
207,500052.729,3050023.452,1406.727,TREE
208,500271.063,3050103.094,1421.709,
209,500048.733,3050218.885,1410.407,
210,500202.532,3050071.013,1414.550,
211,500277.705,3050196.948,1423.652,
212,500232.447,3050095.696,1419.004,GL
213,500079.910,3050244.995,1411.986,GL
214,500321.650,3050220.882,1424.457,
215,500286.163,3050075.330,1421.611,
216,500295.594,3050192.548,1424.183,
217,500052.423,3050084.214,1407.858,TREE
218,500049.502,3050151.591,1409.000,RIVER
219,500371.025,3050164.620,1422.739,HOUSE
220,500159.031,3050207.399,1411.234,RIVER
221,500120.379,3050006.113,1406.492,
222,500195.434,3050055.039,1412.355,
223,500265.146,3050177.979,1422.532,ROAD
224,500382.249,3050140.881,1422.894,
225,500114.578,3050123.901,1410.512,ROAD
226,500369.923,3050013.802,1419.667,GL
227,500009.944,3050087.069,1403.145,
228,500222.079,3050216.275,1418.024,ROAD
229,500253.590,3050007.723,1417.880,TREE
230,500042.359,3050099.109,1407.373,ROAD
231,500056.136,3050236.287,1411.127,GL
232,500167.646,3050012.720,1407.447,
233,500386.493,3050187.426,1423.958,HOUSE
234,500238.417,3050064.403,1417.849,
235,500373.209,3050216.652,1423.859,HOUSE
236,500321.744,3050186.517,1423.682,GL
237,500186.953,3050221.426,1413.398,ROAD
238,500313.905,3050053.981,1421.294,ROAD
239,500007.135,3050132.823,1403.727,GL
240,500043.658,3050194.817,1409.412,RIVER
241,500331.771,3050061.425,1420.975,
242,500318.727,3050057.687,1421.259,
243,500093.056,3050006.796,1407.034,RIVER
244,500212.308,3050239.629,1416.977,TREE
245,500242.406,3050177.504,1420.534,GL
246,500347.096,3050158.890,1422.618,
247,500241.243,3050185.999,1420.407,
248,500165.029,3050132.903,1414.821,HOUSE
249,500149.674,3050119.033,1413.067,ROAD
250,500170.353,3050112.383,1415.192,RIVER
251,500260.772,3050160.110,1422.109,GL
252,500346.996,3050050.384,1420.452,GL
253,500181.559,3050222.015,1412.830,
254,500099.136,3050202.938,1410.961,
255,500094.665,3050087.391,1409.103,GL
256,500298.406,3050144.652,1423.190,TREE
257,500326.628,3050035.257,1420.513,
258,500042.111,3050243.087,1410.117,GL
259,500026.624,3050225.723,1408.139,HOUSE
260,500237.773,3050230.474,1420.392,ROAD
261,500058.469,3050083.041,1408.134,RIVER
262,500329.866,3050042.284,1420.633,
263,500124.134,3050052.943,1407.933,GL
264,500057.549,3050022.500,1406.833,ROAD
265,500368.388,3050030.028,1420.019,HOUSE
266,500066.213,3050017.826,1407.231,
267,500113.888,3050247.456,1411.435,HOUSE
268,500061.445,3050018.514,1406.980,
269,500046.196,3050033.136,1406.401,GL
270,500008.459,3050206.814,1405.347,
271,500022.158,3050145.060,1406.063,RIVER
272,500069.857,3050193.604,1410.843,
273,500021.353,3050157.728,1406.139,ROAD
274,500236.458,3050220.544,1420.082,
275,500272.286,3050159.617,1422.794,
276,500157.452,3050130.531,1414.121,HOUSE
277,500127.196,3050178.187,1410.621,HOUSE
278,500201.810,3050111.848,1417.929,
279,500350.002,3050086.516,1421.096,
280,500340.453,3050116.913,1421.909,
281,500017.390,3050042.429,1403.271,GL
282,500072.599,3050199.143,1411.040,
283,500094.698,3050065.176,1408.517,HOUSE
284,500099.755,3050038.383,1407.649,
285,500228.493,3050061.588,1416.721,ROAD
286,500166.505,3050210.518,1411.753,ROAD
287,500019.702,3050082.550,1404.485,HOUSE
288,500149.446,3050171.512,1411.713,RIVER
289,500209.501,3050214.102,1416.264,RIVER
290,500040.669,3050019.436,1405.499,
291,500333.383,3050191.256,1423.436,
292,500020.785,3050076.916,1404.478,ROAD
293,500369.937,3050054.156,1420.518,
294,500039.645,3050172.225,1408.500,HOUSE
295,500337.430,3050227.449,1424.149,ROAD
296,500361.061,3050073.755,1420.836,RIVER
297,500391.828,3050142.208,1423.341,
298,500320.810,3050072.459,1421.449,
299,500311.791,3050138.571,1423.059,
300,500256.993,3050155.466,1421.727,
301,500311.599,3050152.584,1423.306,
302,500053.821,3050155.887,1409.349,GL
303,500214.427,3050033.770,1413.506,GL
304,500205.689,3050173.385,1416.682,ROAD
305,500343.029,3050168.688,1422.892,ROAD
306,500185.120,3050170.647,1414.721,HOUSE
307,500154.036,3050018.518,1406.894,
308,500255.825,3050111.710,1421.179,GL
309,500106.585,3050102.259,1409.695,HOUSE
310,500055.907,3050021.678,1406.802,
311,500191.151,3050055.592,1411.975,GL
312,500166.756,3050110.241,1414.752,HOUSE
313,500093.028,3050185.727,1410.854,ROAD
314,500147.005,3050059.266,1408.697,ROAD
315,500146.557,3050207.437,1410.667,GL
316,500130.998,3050136.450,1411.539,GL
317,500151.786,3050190.105,1411.135,GL
318,500274.297,3050118.139,1422.250,HOUSE
319,500118.751,3050124.799,1410.717,GL
320,500379.543,3050154.930,1422.835,GL
321,500366.539,3050231.993,1424.082,
322,500192.364,3050122.953,1417.562,GL
323,500131.344,3050132.164,1411.554,
324,500214.174,3050150.499,1418.453,TREE
325,500339.424,3050184.379,1423.327,RIVER
326,500261.035,3050017.963,1418.775,ROAD
327,500321.757,3050128.922,1422.567,GL
328,500213.089,3050120.398,1418.879,RIVER
329,500253.167,3050230.421,1422.209,RIVER
330,500115.262,3050123.377,1410.560,GL
331,500293.957,3050117.080,1422.729,ROAD
332,500080.962,3050240.550,1411.858,
333,500277.919,3050112.644,1422.231,RIVER
334,500344.288,3050045.221,1420.223,
335,500052.841,3050054.229,1407.257,
336,500245.752,3050023.797,1417.311,
337,500038.038,3050000.142,1404.900,ROAD
338,500290.286,3050107.986,1422.474,
339,500033.797,3050192.311,1408.326,ROAD
340,500374.376,3050183.367,1423.254,
341,500054.963,3050008.037,1406.441,TREE
342,500383.552,3050142.496,1422.769,GL
343,500320.354,3050038.571,1420.743,GL
344,500237.473,3050235.269,1420.478,
345,500313.050,3050041.841,1420.905,
346,500318.046,3050156.660,1423.182,
347,500378.411,3050081.560,1421.366,GL
348,500101.353,3050160.390,1410.628,ROAD
349,500236.030,3050103.065,1419.651,GL
350,500038.020,3050189.911,1408.709,
351,500246.466,3050057.670,1418.519,
352,500068.517,3050226.448,1411.385,TREE
353,500225.980,3050125.052,1419.702,GL
354,500228.972,3050189.023,1418.859,RIVER
355,500186.394,3050212.433,1413.443,GL
356,500209.053,3050249.707,1416.625,TREE
357,500305.569,3050055.986,1421.334,
358,500319.698,3050071.723,1421.471,
359,500196.861,3050062.608,1413.203,ROAD
360,500239.837,3050065.718,1418.077,
361,500372.494,3050145.611,1422.474,GL
362,500047.893,3050248.381,1410.751,TREE
363,500046.841,3050247.570,1410.712,
364,500035.084,3050131.693,1407.297,TREE
365,500263.145,3050159.757,1422.236,
366,500167.443,3050214.993,1411.673,
367,500309.729,3050233.233,1424.889,GL
368,500268.493,3050050.965,1420.224,GL
369,500133.455,3050132.135,1411.799,
370,500359.347,3050208.209,1423.534,TREE
371,500305.013,3050075.801,1421.846,HOUSE
372,500108.214,3050109.952,1410.157,
373,500145.677,3050246.405,1411.165,RIVER
374,500125.776,3050246.262,1411.202,TREE
375,500063.045,3050226.527,1411.271,ROAD
376,500059.113,3050199.612,1410.476,
377,500374.451,3050067.283,1420.922,ROAD
378,500175.162,3050080.213,1412.848,
379,500153.328,3050136.821,1413.529,HOUSE
380,500291.874,3050140.194,1423.067,ROAD
381,500221.197,3050126.376,1419.402,
382,500374.456,3050159.168,1422.836,
383,500312.121,3050102.081,1422.292,
384,500191.748,3050187.294,1414.477,TREE
385,500150.544,3050083.387,1410.926,ROAD
386,500394.653,3050082.669,1422.506,GL
387,500287.104,3050031.806,1420.735,
388,500380.478,3050047.178,1420.715,
389,500047.391,3050212.630,1410.012,GL
390,500340.213,3050111.571,1421.780,RIVER
391,500254.830,3050056.967,1419.290,
392,500048.769,3050189.835,1409.727,
393,500235.303,3050138.495,1420.253,HOUSE
394,500274.439,3050005.289,1419.607,
395,500004.921,3050079.090,1402.301,RIVER
396,500181.727,3050044.250,1410.091,RIVER
397,500330.160,3050163.968,1423.054,GL
398,500118.144,3050068.758,1408.568,HOUSE
399,500183.419,3050016.237,1408.944,ROAD
400,500176.926,3050013.734,1408.146,HOUSE
401,500120.771,3050145.432,1410.861,
402,500367.377,3050005.431,1419.520,
403,500312.518,3050212.198,1424.410,
404,500044.235,3050038.849,1406.281,
405,500398.814,3050151.642,1424.222,
406,500351.680,3050111.172,1421.520,HOUSE
407,500113.563,3050110.713,1410.108,TREE
408,500334.759,3050017.949,1420.009,
409,500042.568,3050200.688,1409.422,
410,500399.642,3050223.263,1425.792,
411,500266.274,3050002.754,1418.988,GL
412,500260.050,3050044.651,1419.294,ROAD
413,500036.176,3050225.976,1409.256,
414,500358.813,3050137.373,1422.082,
415,500011.600,3050037.510,1402.431,TREE
416,500096.331,3050050.698,1408.109,
417,500057.209,3050164.997,1409.709,
418,500310.707,3050181.204,1423.840,
419,500079.282,3050149.857,1410.271,TREE
420,500364.255,3050238.287,1424.167,GL
421,500262.508,3050123.516,1421.707,TREE
422,500014.465,3050075.068,1403.557,TREE
423,500002.172,3050119.308,1402.568,GL
424,500020.663,3050089.917,1404.679,ROAD
425,500242.370,3050056.104,1417.930,RIVER
426,500320.593,3050011.491,1420.200,
427,500095.421,3050088.053,1409.171,RIVER
428,500339.764,3050177.852,1423.104,
429,500022.893,3050004.609,1403.178,
430,500320.386,3050109.795,1422.245,TREE
431,500371.118,3050161.002,1422.669,
432,500308.843,3050152.601,1423.327,
433,500279.248,3050194.162,1423.600,
434,500335.192,3050202.630,1423.711,GL
435,500016.061,3050177.926,1405.837,ROAD
436,500080.713,3050025.699,1407.614,RIVER
437,500049.969,3050118.756,1408.379,
438,500201.812,3050150.851,1417.471,TREE
439,500298.075,3050061.392,1421.427,GL
440,500252.005,3050010.638,1417.669,GL
441,500340.452,3050055.898,1420.623,HOUSE
442,500062.085,3050113.724,1409.014,RIVER
443,500293.848,3050103.483,1422.337,GL
444,500077.217,3050044.167,1407.999,
445,500108.304,3050206.104,1410.867,RIVER
446,500283.962,3050231.422,1424.522,RIVER
447,500392.082,3050050.337,1421.582,
448,500244.617,3050232.393,1421.314,TREE
449,500021.800,3050004.465,1403.164,ROAD
450,500246.524,3050231.241,1421.609,TREE
451,500016.940,3050237.982,1407.139,GL
452,500353.658,3050003.013,1419.390,RIVER
453,500283.831,3050190.755,1423.812,ROAD
454,500069.251,3050242.550,1411.760,TREE
455,500036.688,3050226.476,1409.306,
456,500073.413,3050242.678,1411.776,GL
457,500392.011,3050137.581,1423.309,HOUSE
458,500183.424,3050019.539,1409.007,
459,500313.632,3050212.447,1424.324,TREE
460,500254.563,3050153.457,1421.556,HOUSE
461,500228.965,3050153.684,1419.516,
462,500058.052,3050104.313,1408.640,TREE
463,500378.410,3050142.960,1422.644,HOUSE
464,500120.537,3050038.395,1407.310,
465,500231.207,3050184.943,1419.217,TREE
466,500279.910,3050018.754,1420.057,HOUSE
467,500259.693,3050182.445,1422.171,
468,500376.238,3050212.245,1423.929,HOUSE
469,500059.376,3050118.117,1409.006,
470,500203.341,3050127.458,1418.320,GL
471,500161.614,3050078.054,1411.439,HOUSE
472,500189.667,3050242.365,1413.924,
473,500047.687,3050183.281,1409.407,
474,500053.638,3050092.247,1408.129,GL
475,500111.230,3050043.702,1407.744,RIVER
476,500121.882,3050054.895,1407.988,
477,500171.161,3050115.981,1415.460,ROAD
478,500244.395,3050235.642,1421.224,
479,500253.852,3050183.537,1421.584,GL
480,500164.724,3050053.811,1409.385,GL
481,500163.513,3050214.890,1411.424,GL
482,500087.051,3050094.550,1409.214,
483,500235.322,3050212.931,1419.815,ROAD
484,500126.816,3050060.425,1408.251,
485,500014.424,3050154.665,1405.208,ROAD
486,500167.360,3050231.668,1411.805,HOUSE
487,500189.653,3050064.474,1412.671,TREE
488,500090.237,3050173.232,1410.681,
489,500228.983,3050246.828,1419.457,HOUSE
490,500226.309,3050037.650,1415.299,RIVER
491,500280.801,3050022.101,1420.211,RIVER
492,500259.179,3050168.549,1422.170,RIVER
493,500260.973,3050084.934,1420.668,
494,500126.486,3050017.811,1406.693,TREE
495,500314.973,3050118.826,1422.560,GL
496,500219.658,3050188.443,1417.870,RIVER
497,500172.567,3050071.281,1411.699,RIVER
498,500250.405,3050083.762,1419.760,ROAD
499,500144.263,3050211.425,1410.758,
500,500205.096,3050130.018,1418.433,
501,500294.682,3050210.683,1424.440,HOUSE
502,500354.561,3050111.597,1421.497,HOUSE
503,500368.423,3050238.244,1424.221,
504,500201.453,3050162.699,1416.738,
505,500208.110,3050028.975,1412.431,
506,500319.948,3050221.273,1424.448,HOUSE
507,500125.780,3050122.316,1411.169,GL
508,500334.953,3050035.410,1420.470,GL
509,500197.657,3050038.173,1411.515,ROAD
510,500046.343,3050171.883,1409.140,
511,500028.824,3050011.843,1404.148,ROAD
512,500336.797,3050071.648,1421.107,
513,500022.227,3050034.947,1403.796,RIVER
514,500112.245,3050110.269,1410.111,RIVER
515,500133.652,3050103.588,1411.079,TREE
516,500069.198,3050130.469,1409.615,
517,500125.557,3050069.909,1408.721,
518,500297.077,3050008.011,1420.325,
519,500005.873,3050153.597,1403.961,RIVER
520,500330.869,3050093.430,1421.736,
521,500342.619,3050162.834,1422.782,GL
522,500148.905,3050027.167,1407.160,GL
523,500061.445,3050003.444,1406.663,HOUSE
524,500240.336,3050062.074,1418.000,ROAD
525,500047.869,3050114.137,1408.071,TREE
526,500145.968,3050098.518,1411.764,ROAD
527,500383.372,3050202.576,1424.095,TREE
528,500398.186,3050094.459,1423.001,GL
529,500308.842,3050132.610,1422.840,
530,500124.385,3050148.379,1410.937,
531,500275.066,3050005.458,1419.550,GL
532,500282.163,3050128.783,1422.690,
533,500155.137,3050086.208,1411.714,
534,500256.355,3050105.320,1421.052,GL
535,500004.291,3050025.072,1401.031,GL
536,500083.623,3050195.705,1411.108,ROAD
537,500210.035,3050235.601,1416.595,RIVER
538,500065.501,3050005.567,1406.831,HOUSE
539,500066.363,3050150.343,1409.896,
540,500334.522,3050190.961,1423.548,GL
541,500395.653,3050071.202,1422.333,HOUSE
542,500222.388,3050196.889,1417.967,TREE
543,500335.628,3050158.089,1422.840,GL
544,500396.129,3050232.291,1425.461,GL
545,500056.638,3050245.251,1411.289,GL
546,500179.298,3050010.587,1408.418,TREE
547,500157.029,3050111.234,1413.691,
548,500032.020,3050136.747,1407.014,TREE
549,500302.132,3050036.686,1421.049,
550,500173.512,3050084.071,1413.186,HOUSE
551,500187.731,3050246.912,1413.920,ROAD
552,500060.269,3050004.058,1406.708,TREE
553,500072.371,3050113.127,1409.454,GL
554,500362.841,3050210.664,1423.594,RIVER
555,500017.860,3050080.975,1404.171,HOUSE
556,500093.141,3050119.950,1409.946,GL
557,500116.824,3050244.511,1411.316,
558,500196.079,3050118.719,1417.721,
559,500234.578,3050032.730,1416.121,
560,500197.316,3050012.930,1410.430,
561,500033.646,3050236.354,1409.218,HOUSE
562,500097.467,3050066.452,1408.588,TREE
563,500337.435,3050126.016,1422.123,RIVER
564,500255.035,3050022.675,1418.389,TREE
565,500259.660,3050105.914,1421.249,RIVER
566,500268.081,3050232.526,1423.677,TREE
567,500305.161,3050125.603,1422.842,
568,500023.243,3050242.784,1408.087,HOUSE
569,500146.643,3050064.709,1409.189,GL
570,500215.811,3050126.136,1419.124,
571,500135.383,3050214.883,1410.562,GL
572,500337.792,3050112.063,1421.846,HOUSE
573,500193.029,3050069.872,1413.572,GL
574,500307.451,3050213.869,1424.510,HOUSE
575,500340.806,3050097.472,1421.499,RIVER
576,500201.917,3050132.681,1418.231,GL
577,500363.821,3050244.132,1424.185,
578,500234.850,3050046.621,1416.726,GL
579,500340.110,3050075.350,1420.980,ROAD
580,500136.236,3050007.767,1406.316,
581,500199.527,3050097.959,1416.910,RIVER
582,500212.564,3050050.046,1414.081,GL
583,500041.992,3050170.009,1408.707,ROAD
584,500159.421,3050045.330,1408.452,ROAD
585,500366.935,3050168.703,1422.771,ROAD
586,500252.333,3050065.869,1419.324,RIVER
587,500071.003,3050088.804,1408.868,
588,500135.542,3050087.215,1410.150,TREE
589,500076.641,3050179.188,1410.699,
590,500009.929,3050116.627,1403.753,
591,500370.984,3050090.325,1421.219,
592,500179.283,3050213.156,1412.621,HOUSE
593,500123.014,3050142.988,1411.069,TREE
594,500239.391,3050053.458,1417.536,HOUSE
595,500002.926,3050225.023,1404.860,
596,500111.209,3050085.663,1409.147,
597,500281.213,3050009.745,1420.019,HOUSE
598,500253.508,3050123.650,1421.323,ROAD
599,500392.722,3050030.985,1421.249,RIVER
600,500248.143,3050059.617,1418.762,
601,500191.002,3050186.778,1414.442,GL
602,500304.573,3050032.688,1420.940,
603,500361.331,3050201.736,1423.300,ROAD
604,500288.278,3050234.227,1424.814,
605,500385.284,3050151.633,1423.133,ROAD
606,500312.802,3050177.590,1423.777,
607,500346.721,3050178.397,1422.941,
608,500045.642,3050248.202,1410.605,RIVER
609,500292.965,3050085.385,1421.988,GL
610,500176.035,3050040.714,1409.356,GL
611,500221.242,3050129.792,1419.427,HOUSE
612,500261.641,3050133.312,1421.846,
613,500387.926,3050044.478,1421.144,HOUSE
614,500393.831,3050153.277,1423.874,GL
615,500115.291,3050003.531,1406.608,
616,500293.501,3050231.917,1424.798,GL
617,500299.993,3050066.144,1421.639,
618,500138.597,3050009.890,1406.366,
619,500049.548,3050027.062,1406.421,TREE
620,500016.379,3050060.062,1403.589,
621,500310.937,3050068.477,1421.498,
622,500195.880,3050008.202,1410.173,HOUSE
623,500394.216,3050069.839,1422.144,GL
624,500185.989,3050048.235,1410.827,
625,500391.167,3050094.655,1422.432,HOUSE
626,500164.630,3050096.292,1413.508,ROAD
627,500317.473,3050084.752,1421.753,
628,500033.928,3050081.981,1406.190,
629,500222.185,3050022.433,1414.156,
630,500320.824,3050006.301,1420.079,HOUSE
631,500369.881,3050050.529,1420.465,
632,500329.033,3050189.162,1423.667,ROAD
633,500014.788,3050247.702,1407.155,
634,500149.081,3050232.132,1411.013,
635,500019.479,3050126.055,1405.217,ROAD
636,500043.713,3050132.956,1408.170,
637,500270.122,3050078.645,1421.073,
638,500285.303,3050193.485,1423.927,RIVER
639,500309.488,3050191.189,1424.089,TREE
640,500346.183,3050211.068,1423.662,GL
641,500295.773,3050223.876,1424.705,HOUSE
642,500320.349,3050108.587,1422.180,HOUSE
643,500019.585,3050191.719,1406.508,TREE
644,500093.814,3050201.600,1411.086,
645,500248.759,3050077.115,1419.450,TREE
646,500343.250,3050232.311,1424.150,
647,500001.800,3050023.585,1400.667,ROAD
648,500205.852,3050248.567,1416.210,TREE
649,500270.915,3050192.523,1423.276,
650,500011.843,3050023.318,1402.177,RIVER
651,500160.542,3050164.057,1412.840,
652,500358.254,3050008.545,1419.507,
653,500268.645,3050192.547,1423.123,RIVER
654,500095.063,3050199.806,1410.973,ROAD
655,500341.112,3050150.603,1422.543,ROAD
656,500139.213,3050214.215,1410.594,HOUSE
657,500341.338,3050024.471,1419.977,RIVER
